ADC1,ADC2,DISTANCE
636, 471, 10
642, 472, 10
635, 471, 10
642, 471, 10
636, 472, 10
874, 341, 15
873, 342, 15
873, 345, 15
874, 345, 15
874, 340, 15
1153, 271, 20
1157, 298, 20
1157, 270, 20
1157, 266, 20
1156, 276, 20
1418, 217, 25
1424, 218, 25
1452, 217, 25
1451, 217, 25
1425, 217, 25
1699, 176, 30
1696, 188, 30
1702, 188, 30
1700, 187, 30
1701, 189, 30
1999, 166, 35
1999, 166, 35
2000, 167, 35
2000, 166, 35
1999, 166, 35
2259, 145, 40
2260, 145, 40
2265, 145, 40
2289, 128, 40
2283, 145, 40
2565, 132, 45
2542, 132, 45
2548, 128, 45
2541, 133, 45
2548, 132, 45
2841, 120, 50
2847, 120, 50
2840, 119, 50
2866, 120, 50
2841, 119, 50
3140, 112, 55
3168, 111, 55
3168, 112, 55
3160, 111, 55
3162, 112, 55
3365, 103, 60
3359, 103, 60
3392, 103, 60
3366, 103, 60
3361, 103, 60
