ADC1,ADC2,TYPE
636, 471, FLAT
642, 472, FLAT
635, 471, FLAT
642, 471, FLAT
636, 472, FLAT
874, 341, FLAT
873, 342, FLAT
873, 345, FLAT
874, 345, FLAT
874, 340, FLAT
1153, 271, FLAT
1157, 298, FLAT
1157, 270, FLAT
1157, 266, FLAT
1156, 276, FLAT
1418, 217, FLAT
1424, 218, FLAT
1452, 217, FLAT
1451, 217, FLAT
1454, 217, FLAT
1699, 176, FLAT
1696, 188, FLAT
1702, 188, FLAT
1700, 187, FLAT
1701, 189, FLAT
1999, 166, FLAT
1999, 166, FLAT
2000, 167, FLAT
2000, 166, FLAT
1999, 166, FLAT
2259, 145, FLAT
2260, 145, FLAT
2265, 145, FLAT
2289, 128, FLAT
2283, 145, FLAT
2565, 132, FLAT
2542, 132, FLAT
2548, 128, FLAT
2541, 133, FLAT
2548, 132, FLAT
2841, 120, FLAT
2847, 120, FLAT
2840, 119, FLAT
2866, 120, FLAT
2841, 119, FLAT
3140, 112, FLAT
3168, 111, FLAT
3168, 112, FLAT
3160, 111, FLAT
3162, 112, FLAT
1552,512,CONCAVE
1549,507,CONCAVE
1547,507,CONCAVE
1581,507,CONCAVE
1600,508,CONCAVE
1470,310,CONCAVE
1440,310,CONCAVE
1446,310,CONCAVE
1445,309,CONCAVE 
1389,311,CONCAVE
1516,275,CONCAVE
1510,279,CONCAVE
1537,279,CONCAVE
1513,279,CONCAVE
1506,279,CONCAVE
1524,234,CONCAVE
1518,285,CONCAVE
1544,234,CONCAVE
1519,239,CONCAVE
1700,234,CONCAVE
1732,286,CONCAVE
1750,200,CONCAVE
1750,205,CONCAVE
1700,226,CONCAVE
1705,205,CONCAVE
2199,184,CONCAVE
2217,183,CONCAVE
2242,184,CONCAVE
2172,184,CONCAVE
2223,183,CONCAVE
2443,167,CONCAVE
2424,166,CONCAVE
22443,166,CONCAVE
2443,167,CONCAVE
2468,166,CONCAVE
2745,154,CONCAVE
2770,154,CONCAVE
2745,153,CONCAVE
2721,154,CONCAVE
2743,153,CONCAVE
3100,141,CONCAVE
3074,141,CONCAVE
3050,145,CONCAVE
3076,146,CONCAVE
3101,145,CONCAVE
3047,145,CONCAVE
3246,133,CONCAVE
3222,133,CONCAVE
3219,132,CONCAVE
3270,133,CONCAVE
3269,132,CONCAVE
3213,136,CONCAVE
747,506,CONVEX
748,506,CONVEX
754,506,CONVEX
754,506,CONVEX
747,506,CONVEX
919,410,CONVEX
962,363,CONVEX
962,362,CONVEX
961,362,CONVEX
962,362,CONVEX
1345,280,CONVEX
1338,279,CONVEX
1344,280,CONVEX
1344,279,CONVEX
1338,279,CONVEX
4004,277,CONVEX
4029,225,CONVEX
4002,224,CONVEX
4004,230,CONVEX
4027,225,CONVEX
4002,225,CONVEX
4053,226,CONVEX
1898,187,CONVEX
1898,188,CONVEX
1923,188,CONVEX
1922,188,CONVEX
1898,187,CONVEX
2103,162,CONVEX
2130,158,CONVEX
2106,155,CONVEX
2130,158,CONVEX
2106,167,CONVEX
2364,162,CONVEX
2389,159,CONVEX
2356,137,CONVEX
2365,141,CONVEX
2386,143,CONVEX
